value,count,percentage
No fixed stress,220,0.43824701195219123
Initial,92,0.18326693227091634
Second,16,0.03187250996015936
Third,1,0.00199203187250996
Antepenultimate,12,0.02390438247011952
Penultimate,110,0.21912350597609562
Ultimate,51,0.10159362549800798
