value,count,percentage
Indefinite word distinct from 'one',102,0.19101123595505617
Indefinite word same as 'one',112,0.20973782771535582
Indefinite affix,24,0.0449438202247191
"No indefinite, but definite article",98,0.18352059925093633
No definite or indefinite article,198,0.3707865168539326
