value,count,percentage
Second singular and second plural,292,0.5338208409506399
Second singular,42,0.07678244972577697
Second plural,2,0.003656307129798903
Second person number-neutral,89,0.16270566727605118
No second-person imperatives,122,0.2230347349177331
