value,count,percentage
No grammatical evidentials,181,0.43301435406698563
Verbal affix or clitic,131,0.3133971291866029
Part of the tense system,24,0.05741626794258373
Separate particle,65,0.15550239234449761
Modal morpheme,7,0.01674641148325359
Mixed,10,0.023923444976076555
