value,count,percentage
No distributive numerals,62,0.24701195219123506
Marked by reduplication,85,0.3386454183266932
Marked by prefix,23,0.09163346613545817
Marked by suffix,32,0.12749003984063745
Marked by preceding word,21,0.08366533864541832
Marked by following word,5,0.0199203187250996
Marked by mixed or other strategies,23,0.09163346613545817
