value,count,percentage
SOV,565,0.4103122730573711
SVO,488,0.35439360929557007
VSO,95,0.068990559186637615
VOS,25,0.01815541031227306
OVS,11,0.007988380537400145
OSV,4,0.002904865649963689
No dominant order,189,0.13725490196078433
