value,count,percentage
Word&NoDoubleNeg,15,0.033632286995515695
Suffix&NoDoubleNeg,19,0.042600896860986545
Word&OptDoubleNeg,5,0.011210762331838564
Suffix&OptDoubleNeg,2,0.004484304932735426
Word&OnlyWithAnotherNeg,15,0.033632286995515695
Suffix&OnlyWithAnotherNeg,17,0.03811659192825112
No SVNegO,373,0.8363228699551569
