value,count,percentage
A regular and a suppletive form alternate,8,0.04145077720207254
Imperative,29,0.15025906735751296
Hortative,2,0.010362694300518135
Imperative and Hortative,1,0.0051813471502590676
None (= no suppletive imperatives reported in the reference material),153,0.7927461139896373
