value,count,percentage
Initial subordinator word,398,0.6039453717754173
Final subordinator word,96,0.1456752655538695
Internal subordinator word,8,0.012139605462822459
Subordinating suffix,64,0.09711684370257967
Mixed,93,0.1411229135053111
