value,count,percentage
A and P do not or do not both occur on the verb,187,0.49340369393139843
A precedes P,96,0.2532981530343008
P precedes A,57,0.1503957783641161
Both orders of A and P occur,19,0.05013192612137203
A and P are fused,20,0.052770448548812667
