value,count,percentage
Initial,129,0.14592760180995476
Final,314,0.3552036199095023
Second position,52,0.058823529411764705
Other position,8,0.00904977375565611
In either of two positions,26,0.029411764705882353
No question particle,355,0.40158371040723984
