value,count,percentage
monoexponential TAM,127,0.79375
TAM+agreement,19,0.11875
TAM+agreement+diathesis,4,0.025
TAM+agreement+construct,1,0.00625
TAM+polarity,5,0.03125
no TAM,4,0.025
